Journal Title,ISSN,eISSN,Year,Volume,Issue,Page,DOI,PMCID,PMID,Manuscript Id,Release Date
Biochem J,0264-6021,1470-8728,2006,396,Pt 1,e1,10.1042/BJ20060377,PMC1450001,16626281,,live
BMC Genomics,,1471-2164,2006,7,,85,10.1186/1471-2164-7-85,PMC1459144,16626485,,live
Behav Brain Funct,,1744-9081,2006,2,,14,10.1186/1744-9081-2-14,PMC1459178,16626484,,live
BMC Med Ethics,,1472-6939,2006,7,,5,10.1186/1472-6939-7-5,PMC1459179,16626488,,live
BMC Ophthalmol,,1471-2415,2006,6,,18,10.1186/1471-2415-6-18,PMC1459203,16626495,,live
Malar J,,1475-2875,2006,5,,31,10.1186/1475-2875-5-31,PMC1459863,16626494,,live
BMC Pregnancy Childbirth,,1471-2393,2006,6,,15,10.1186/1471-2393-6-15,PMC1459875,16626498,,live
Respir Res,1465-9921,1465-993X,2006,7,1,67,10.1186/1465-9921-7-67,PMC1462993,16626491,,live
BMC Microbiol,,1471-2180,2006,6,,36,10.1186/1471-2180-6-36,PMC1462995,16626493,,live
BMC Genomics,,1471-2164,2006,7,,86,10.1186/1471-2164-7-86,PMC1462998,16626500,,live
BMC Neurosci,,1471-2202,2006,7,,34,10.1186/1471-2202-7-34,PMC1464134,16626487,,live
J Zhejiang Univ Sci B,1673-1581,1862-1783,2006,7,6,411,10.1631/jzus.2006.B0411,PMC1473998,16625706,,live
BMC Genet,,1471-2156,2006,7,,22,10.1186/1471-2156-7-22,PMC1479364,16626483,,live
Int J Health Geogr,,1476-072X,2006,5,,17,10.1186/1476-072X-5-17,PMC1482309,16626490,,live
Aust New Zealand Health Policy,,1743-8462,2006,3,,2,10.1186/1743-8462-3-2,PMC1488859,16626499,,live
BMC Bioinformatics,,1471-2105,2006,7,,215,10.1186/1471-2105-7-215,PMC1513403,16626497,,live
BMC Pediatr,,1471-2431,2006,6,,13,10.1186/1471-2431-6-13,PMC1524754,16626486,,live
BMC Cancer,,1471-2407,2006,6,,99,10.1186/1471-2407-6-99,PMC1524972,16626496,,live
Biochem J,0264-6021,1470-8728,2006,398,Pt 1,73,10.1042/BJ20051810,PMC1525007,16626305,,live
Biochem J,0264-6021,1470-8728,2006,397,Pt 3,519,10.1042/BJ20050977,PMC1533305,16626303,,live
Biochem J,0264-6021,1470-8728,2006,397,Pt 3,483,10.1042/BJ20060293,PMC1533309,16626304,,live
Crit Care,1364-8535,1466-609X,2006,10,2,R66,10.1186/cc4902,PMC1550870,16626503,,live
Health Qual Life Outcomes,,1477-7525,2006,4,,25,10.1186/1477-7525-4-25,PMC1553436,16626489,,live
Breast Cancer Res,1465-5411,1465-542X,2006,8,2,R23,10.1186/bcr1399,PMC1557722,16626501,,live
Genome Biol,1474-7596,1474-760X,2006,7,4,R32,10.1186/gb-2006-7-4-r32,PMC1557986,16626502,,live
Cancer Immun,,1424-9634,2006,6,,8,,PMC1976276,16626110,NIHMS26749,live
Brain Res,0006-8993,1872-6240,2006,1091,1,122,10.1016/j.brainres.2006.02.076,PMC1992439,16626648,NIHMS29213,live
Croat Med J,0353-9504,1332-8166,2006,47,2,310,,PMC2080388,16625698,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,253,,PMC2080389,16625690,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,271,,PMC2080390,16625692,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,335,,PMC2080392,16625702,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,344,,PMC2080393,16625703,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,318,,PMC2080396,16625700,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,246,,PMC2080397,16625689,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,327,,PMC2080398,16625701,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,279,,PMC2080399,16625693,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,264,,PMC2080400,16625691,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,298,,PMC2080401,16625696,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,239,,PMC2080403,16625688,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,292,,PMC2080404,16625695,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,285,,PMC2080405,16625694,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,305,,PMC2080410,16625697,,live
Croat Med J,0353-9504,1332-8166,2006,47,2,233,,PMC2080413,16625687,,live
Opt Lett,0146-9592,1539-4794,2006,31,8,1082,10.1364/ol.31.001082,PMC2440656,16625910,NIHMS54609,live
Mol Ecol,0962-1083,1365-294X,2006,15,5,1213,10.1111/j.1365-294X.2006.02775.x,PMC2536761,16626449,NIHMS55611,live
New Phytol,0028-646X,1469-8137,2006,170,3,615,10.1111/j.1469-8137.2006.01687.x,PMC2562702,16626481,NIHMS55610,live
J Org Chem,0022-3263,1520-6904,2006,71,9,3381,10.1021/jo0524573,PMC2586152,16626117,NIHMS63099,live
J Org Chem,0022-3263,1520-6904,2006,71,9,3472,10.1021/jo060041z,PMC2587451,16626128,NIHMS56137,live
Biochem Soc Symp,0067-8694,1744-1439,2006,,73,203,10.1042/bss0730203,PMC3858827,16626300,EMS51686,live
J Org Chem,0022-3263,1520-6904,2006,71,9,3452,10.1021/jo0526688,PMC4664482,16626126,NIHMS63093,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,299,10.1007/BF03405170,PMC5016097,16625802,CAMS204,live
J Obstet Gynaecol Can,1701-2163,,2006,28,2 Suppl 1,S95,10.1016/s1701-2163(16)32087-4,PMC5110318,16626523,CAMS6250,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,304,10.1007/BF03405171,PMC6975618,16625803,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,278,10.1007/BF03405163,PMC6975650,16625795,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,294,10.1007/BF03405169,PMC6975718,16625801,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,269,10.1007/BF03405161,PMC6975728,16625793,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,281,10.1007/BF03405164,PMC6975730,16625796,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,250,10.1007/BF03405156,PMC6975774,16625789,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,313,10.1007/BF03405173,PMC6975804,16625805,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,254,10.1007/BF03405157,PMC6975850,16625790,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,273,10.1007/BF03405162,PMC6975853,16625794,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,287,10.1007/BF03405166,PMC6975921,16625798,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,291,10.1007/BF03405168,PMC6976048,16625800,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,264,10.1007/BF03405160,PMC6976076,16625792,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,259,10.1007/BF03405159,PMC6976148,16625791,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,308,10.1007/BF03405172,PMC6976237,16625804,,live
Can J Public Health,0008-4263,1920-7476,2005,96,4,284,10.1007/BF03405165,PMC6976244,16625797,,live
Acta Pharmacol Sin,1671-4083,1745-7254,2006,27,5,513,10.1111/j.1745-7254.2006.00329.x,PMC7091618,16626505,,live
Yi Chuan Xue Bao,0379-4172,,2006,33,4,354,10.1016/S0379-4172(06)60061-9,PMC7131822,16625834,,live
